age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage
43,15,43,0,0,0,0,45,38012,3,13,24,4,0,0,0,6,47,0.0,0
44,14,44,0,0,0,0,51,45479,7,6,12,3,1,0,0,8,39,0.0,0
25,0,25,1,0,0,0,52,31515,3,-1,0,3,5,0,0,12,34,0.0,0
40,5,40,1,0,0,0,69,30782,3,27,36,0,0,0,0,11,18,0.0,0
33,4,33,0,0,0,0,46,39377,5,33,36,3,2,4,2,14,38,8.585,0
30,0,30,0,0,0,0,68,38225,2,32,36,0,1,4,2,9,22,9.464,0
23,0,23,1,0,0,0,45,55277,2,18,24,4,1,5,3,10,44,9.842,0
29,0,29,0,0,1,0,27,52732,7,11,24,7,1,4,21,12,60,27.517,0
59,29,59,1,0,0,0,54,23138,4,31,36,2,5,0,0,9,35,0.0,1
34,4,34,1,0,0,0,73,55558,5,-5,0,0,0,0,0,10,15,0.0,0
45,14,45,0,0,0,0,48,45658,2,30,36,4,3,0,0,12,38,0.0,0
38,7,38,1,0,0,0,60,52597,3,11,24,1,0,0,0,16,23,0.0,0
38,10,38,0,0,0,0,68,55126,6,24,36,0,4,0,0,9,21,0.0,1
48,18,48,0,0,0,0,56,48045,4,28,36,2,0,1,1,12,30,8.662,0
66,39,66,1,0,0,0,53,26997,2,32,36,2,0,3,2,11,34,8.382,0
49,20,49,0,0,0,0,50,40261,4,19,24,3,0,3,2,15,34,9.733,0
39,7,39,0,0,0,0,58,54938,5,33,36,2,0,2,1,12,29,7.352,0
29,0,29,0,0,0,0,56,54576,2,6,12,2,1,1,1,8,34,9.679,0
19,0,19,1,0,0,0,48,32486,7,19,24,3,2,2,1,17,34,12.482,1
31,5,31,1,0,0,0,50,46635,5,40,48,3,0,0,0,20,29,0.0,0
29,0,29,1,0,0,0,59,53208,6,9,12,2,0,0,0,14,26,0.0,0
26,0,26,0,0,0,0,59,23110,7,41,48,1,0,1,1,7,33,8.969,0
24,0,24,0,0,0,0,60,60482,4,38,48,1,1,6,22,8,31,28.758,0
39,7,39,0,0,0,0,62,38190,7,31,36,1,2,5,2,12,24,10.223,0
39,7,39,0,0,0,0,61,40307,7,26,36,1,1,2,2,9,28,9.155,0
37,13,37,0,0,0,0,43,36878,5,31,36,4,1,0,0,8,47,0.0,0
50,16,50,1,0,0,0,64,72869,4,11,24,1,0,2,27,8,26,33.625,0
48,16,48,1,0,0,0,60,50571,2,40,48,1,0,4,1,12,26,7.657,0
40,14,40,0,0,0,0,62,49396,2,6,12,1,1,0,0,6,31,0.0,0
24,0,24,0,0,0,0,50,50751,6,22,24,3,1,2,2,11,37,9.802,0
25,1,25,1,0,0,0,69,42710,4,22,24,0,1,1,22,0,30,28.755,0
51,21,51,1,0,0,0,54,47993,1,18,24,2,1,1,1,9,36,7.732,0
26,0,26,1,0,0,0,68,30239,4,11,24,0,0,0,0,10,20,0.0,0
52,21,52,0,0,0,0,50,20748,6,20,24,3,0,2,1,18,30,8.539,0
36,4,36,1,0,0,0,59,39404,5,37,48,2,1,0,0,9,31,0.0,0
44,15,44,0,0,0,0,66,40816,5,40,48,0,1,2,2,6,26,11.352,0
25,0,25,0,0,0,0,45,35375,5,12,24,4,2,0,2,11,43,9.928,0
46,17,46,1,0,0,0,53,44014,6,6,12,2,3,0,0,9,36,0.0,1
30,0,30,0,0,0,0,56,42657,5,27,36,2,0,0,0,12,30,0.0,0
40,12,40,1,0,0,0,49,48013,3,40,48,3,1,5,2,14,35,9.575,0
41,11,41,0,0,0,0,42,42382,4,41,48,4,0,0,0,11,45,0.0,0
39,11,39,0,0,0,0,51,34850,3,35,36,3,0,4,3,6,42,9.425,0
59,26,59,1,0,0,0,59,32409,3,-1,0,1,3,0,0,17,23,0.0,0
35,2,35,1,0,0,0,50,43810,3,-3,0,3,2,5,0,13,35,0.0,0
37,6,37,0,0,0,0,44,41813,7,17,24,4,0,0,0,18,36,0.0,0
32,0,32,0,0,0,0,46,31981,2,29,36,4,1,0,0,8,44,0.0,0
31,4,31,1,0,0,0,50,51743,2,21,24,3,0,0,0,13,36,0.0,0
27,0,27,1,0,0,0,57,21831,3,33,36,2,0,0,0,13,29,0.0,0
39,11,39,0,0,0,0,39,48542,3,-1,0,5,4,0,0,14,45,0.0,1
53,22,53,0,0,0,0,52,45966,5,9,12,2,4,0,0,10,36,0.0,1
56,25,56,0,0,0,0,55,50700,2,38,48,2,0,2,1,7,36,9.349,0
53,22,53,1,0,0,0,64,25902,5,7,12,1,1,0,0,12,23,0.0,0
45,17,45,0,0,0,0,55,25904,4,12,24,2,1,3,3,9,35,9.768,0
27,0,27,0,0,0,0,49,39820,6,29,36,3,1,0,0,14,36,0.0,0
25,0,25,1,0,0,0,59,38183,2,-4,0,1,1,1,0,12,28,0.0,0
44,18,44,1,0,0,0,40,55269,7,29,36,5,3,0,0,15,44,0.0,1
44,16,44,0,0,0,0,48,52660,2,7,12,3,0,0,0,13,37,0.0,0
37,11,37,0,0,0,0,30,46573,2,9,12,6,2,0,7,19,49,14.573,0
27,0,27,1,0,0,0,35,37475,3,41,48,6,2,0,0,14,50,0.0,0
27,0,27,1,0,0,0,58,49874,3,24,36,2,0,3,1,3,37,11.761,0
46,16,46,0,0,0,0,64,42250,5,29,36,1,3,4,2,10,25,9.325,0
45,15,45,1,0,0,0,52,42224,5,34,36,3,0,2,1,14,32,9.126,0
39,5,39,0,0,0,0,61,42588,5,31,36,1,2,0,0,5,33,0.0,0
50,17,50,0,0,0,0,50,38226,5,16,24,3,3,2,1,7,42,10.372,0
52,26,52,1,0,0,0,63,22869,4,-2,0,1,1,0,0,10,26,0.0,0
45,15,45,1,0,0,0,52,42224,5,34,36,3,0,2,1,14,32,9.126,0
50,22,50,0,0,0,0,62,41129,2,25,36,1,1,0,0,4,32,0.0,0
32,1,32,0,0,0,0,47,47259,2,14,24,3,2,2,2,14,38,11.271,0
67,37,67,0,0,0,0,53,33884,5,35,36,2,1,0,0,10,35,0.0,0
23,0,23,1,0,0,0,60,31288,6,19,24,1,0,0,0,7,32,0.0,0
31,3,31,1,0,0,0,62,22858,2,8,12,1,0,0,0,12,25,0.0,0
30,2,30,0,0,0,0,66,51338,3,10,12,0,0,0,0,12,20,0.0,0
35,7,35,1,0,0,0,57,54434,4,14,24,2,0,0,0,9,32,0.0,0
39,5,39,0,0,0,0,62,72883,3,10,12,1,0,3,1,14,23,12.129,0
19,0,19,0,0,0,0,65,55568,5,13,24,1,0,3,2,8,25,9.292,0
41,15,41,0,0,0,0,72,71493,6,18,24,0,2,3,1,15,11,10.596,1
25,0,25,1,0,0,0,51,42230,4,0,12,3,0,4,1,15,32,7.259,0
48,17,48,0,0,0,0,55,55258,2,41,48,2,1,5,2,7,37,11.911,0
36,4,36,1,0,0,0,55,30830,2,12,24,2,3,2,1,8,36,9.412,0
42,15,42,1,0,0,0,65,30951,5,21,24,1,1,0,0,11,22,0.0,0
27,0,27,0,0,0,0,58,38466,2,20,24,2,3,0,0,8,33,0.0,0
51,21,51,0,0,0,0,66,64731,1,16,24,0,2,4,1,10,22,8.112,0
39,5,39,0,0,0,0,54,55350,2,15,24,2,0,3,1,17,28,8.678,0
39,8,39,1,0,0,0,50,42820,6,14,24,3,1,3,3,7,42,13.086,0
34,2,34,1,0,0,0,60,35277,5,-5,0,1,0,1,0,8,31,0.0,0
42,15,42,0,0,0,0,48,48048,5,41,48,3,3,0,0,12,38,0.0,0
44,15,44,0,0,0,0,63,25215,3,40,48,1,0,3,1,12,24,10.982,0
61,30,61,1,0,0,0,53,35444,2,8,12,3,3,1,12,10,36,19.803,0
42,12,42,1,0,0,0,65,54413,6,30,36,0,2,0,0,12,22,0.0,1
36,9,36,0,0,0,0,34,41138,2,32,36,6,7,3,2,14,50,11.511,0
30,0,30,1,0,0,0,45,55546,5,29,36,4,1,2,1,9,44,10.343,0
35,5,35,0,0,0,0,44,40221,7,-2,0,4,1,0,0,12,43,0.0,0
29,0,29,1,0,0,0,57,66446,7,16,24,2,1,2,1,16,25,12.946,0
37,12,37,0,0,0,0,57,55297,5,12,24,2,1,1,15,15,26,21.996,0
56,30,56,0,0,0,0,57,38019,6,23,24,2,2,0,0,12,30,0.0,0
39,6,39,0,0,0,0,49,41955,5,23,24,3,1,0,0,13,36,0.0,0
44,14,44,1,0,0,0,72,52553,3,38,48,0,3,3,1,12,15,10.512,1
28,2,28,1,0,0,0,52,51815,5,29,36,3,0,4,4,7,40,10.552,0
53,28,53,0,0,0,0,55,41094,2,11,24,2,3,0,0,12,32,0.0,0
33,8,33,0,0,0,0,60,43938,5,22,24,1,0,2,1,8,31,9.082,0
18,0,18,1,0,0,0,56,30972,5,11,24,2,4,0,0,19,24,0.0,1
41,15,41,1,0,0,0,69,40375,6,29,36,0,0,0,6,5,24,13.132,0
26,0,26,0,0,0,0,69,50922,5,6,12,0,0,0,0,6,23,0.0,0
41,13,41,0,0,0,0,58,53222,5,22,24,2,0,3,3,6,35,12.262,0
31,0,31,1,1,0,0,78,54045,4,22,24,1,0,4,3,14,7,11.889,0
28,0,28,0,0,0,0,63,55285,3,16,24,1,0,4,2,10,25,8.746,0
69,41,69,0,0,0,0,62,48100,3,5,12,1,0,0,0,9,28,0.0,0
32,0,32,0,0,0,0,62,31983,5,31,36,1,1,4,1,12,24,7.753,0
34,5,34,0,0,0,0,57,30063,2,29,36,2,1,0,0,11,30,0.0,0
37,6,37,1,0,0,0,54,28151,3,13,24,3,1,0,0,11,34,0.0,0
55,22,55,0,0,1,0,63,33567,6,25,36,1,7,0,0,8,27,0.0,1
48,20,48,1,0,0,0,59,38503,2,-3,0,1,0,0,0,4,36,0.0,0
40,8,40,0,0,0,0,27,54348,3,25,36,7,0,0,0,18,54,0.0,0
27,0,27,1,0,0,0,49,45397,2,24,36,3,3,0,0,10,40,0.0,0
40,6,40,0,0,0,0,54,54406,7,26,36,2,0,4,2,9,35,12.56,0
32,0,32,1,0,0,0,67,37951,3,41,48,0,2,0,0,4,28,0.0,0
24,0,24,0,0,0,0,52,30969,2,0,12,3,1,1,0,15,31,0.0,0
49,22,49,0,0,0,0,60,46613,2,14,24,1,0,2,1,5,34,7.646,0
24,0,24,1,0,0,0,65,45427,3,40,48,0,4,4,2,12,22,10.004,1
24,0,24,1,0,0,0,56,49185,3,40,48,2,0,2,1,14,28,9.149,0
42,12,42,1,0,0,0,57,54360,3,35,48,2,1,6,19,11,31,25.739,0
