age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Pension
36,5,36,0,0,0,0,61,35851,5,37,48,1,4,0,0,13,25,0.0,0
41,12,41,0,0,0,0,77,51921,4,6,12,1,1,4,2,4,18,10.185,0
25,0,25,0,0,0,0,51,74973,2,11,24,3,0,4,28,9,38,35.153,0
31,5,31,1,0,0,0,65,45092,3,22,24,1,1,0,0,10,23,0.0,0
54,25,54,1,0,0,0,65,41552,2,13,24,1,1,0,0,10,24,0.0,0
31,3,31,1,0,0,0,35,38091,2,19,24,5,0,2,1,17,46,9.199,0
47,17,47,0,0,0,0,54,26345,5,30,36,2,0,1,1,14,30,11.824,0
29,0,29,0,0,0,0,56,40337,6,18,24,2,0,0,0,12,30,0.0,0
34,1,34,0,0,0,0,47,43747,4,24,36,3,2,0,0,16,35,0.0,0
40,13,40,1,0,0,0,64,44441,3,-6,0,1,1,2,0,10,25,0.0,0
41,9,41,1,0,0,0,54,45741,7,-6,0,2,7,0,0,12,32,0.0,0
50,20,50,1,0,0,0,59,50841,3,32,36,1,0,0,0,7,33,0.0,1
26,0,26,1,0,0,0,56,50170,3,22,24,2,0,3,1,10,33,7.76,0
36,3,36,0,0,0,0,66,65124,7,10,12,0,4,2,1,7,26,8.359,1
40,12,40,0,0,0,0,54,45108,5,41,48,2,1,6,11,13,31,17.996,1
36,8,36,0,0,0,0,55,55255,2,41,48,2,0,2,1,11,32,10.989,0
45,15,45,0,0,0,0,61,45244,7,12,24,1,3,3,2,18,19,9.078,0
52,25,52,0,0,0,0,58,28313,4,21,24,2,4,0,0,11,29,0.0,1
22,0,22,1,0,0,0,56,36450,7,23,36,2,2,4,2,11,31,9.065,0
24,0,24,0,0,0,0,52,40040,4,33,36,3,0,0,0,12,34,0.0,0
39,14,39,1,0,0,0,55,48966,6,30,36,2,0,2,1,9,34,8.432,1
43,16,43,1,0,0,0,52,43272,5,40,48,2,1,2,30,18,29,37.22,0
41,12,41,0,0,0,0,61,26026,7,24,36,1,1,0,0,12,25,0.0,0
32,4,32,1,0,0,0,51,39568,6,21,24,3,0,4,2,11,36,12.825,0
25,0,25,1,0,0,0,63,51046,5,29,36,1,0,0,0,11,24,0.0,0
30,0,30,0,0,0,0,54,46758,2,6,12,2,1,0,0,7,38,0.0,0
53,25,53,0,0,0,0,60,55582,4,13,24,1,0,2,1,10,28,10.819,1
